,Survived,Pclass,Sex,Fare,Embarked,Title,Alone,Shared Ticket,Age1
0,0,3,0,0,0,0,0,1,2
1,1,1,1,3,1,2,0,1,3
2,1,3,1,1,0,3,1,1,2
3,1,1,1,3,0,2,0,2,3
4,0,3,0,1,0,0,1,1,3
5,0,3,0,1,2,0,1,1,3
6,0,1,0,3,0,0,1,1,5
7,0,3,0,2,0,1,0,4,0
8,1,3,1,1,0,2,0,3,2
9,1,2,1,2,1,2,0,2,1
10,1,3,1,2,0,3,0,2,0
11,1,1,1,2,0,3,1,1,5
12,0,3,0,1,0,0,1,1,1
13,0,3,0,3,0,0,0,7,3
14,0,3,1,0,0,3,1,1,1
15,1,2,1,2,0,2,1,1,5
16,0,3,0,2,2,1,0,5,0
17,1,2,0,1,0,0,1,1,3
18,0,3,1,2,0,2,0,1,3
19,1,3,1,0,1,2,1,1,3
20,0,2,0,2,0,0,1,2,3
21,1,2,0,1,0,0,1,1,3
22,1,3,1,1,2,3,1,1,1
23,1,1,0,3,0,0,1,1,2
24,0,3,1,2,0,3,0,4,0
25,1,3,1,3,0,2,0,4,3
26,0,3,0,0,1,0,1,1,3
27,0,1,0,3,0,0,0,4,1
28,1,3,1,0,2,3,1,1,2
29,0,3,0,0,0,0,1,1,3
30,0,1,0,2,1,4,1,1,3
31,1,1,1,3,1,2,0,2,3
32,1,3,1,0,2,3,1,1,2
33,0,2,0,1,0,0,1,1,6
34,0,1,0,3,1,0,0,2,2
35,0,1,0,3,0,0,0,2,4
36,1,3,0,0,1,0,1,1,3
37,0,3,0,1,0,0,1,1,2
38,0,3,1,2,0,3,0,2,1
39,1,3,1,1,1,3,0,2,1
40,0,3,1,1,0,2,0,1,3
41,0,2,1,2,0,2,0,2,2
42,0,3,0,0,1,0,1,1,3
43,1,2,1,3,1,3,0,3,0
44,1,3,1,0,2,3,1,1,1
45,0,3,0,1,0,0,1,1,3
46,0,3,0,2,2,0,0,1,3
47,1,3,1,0,2,3,1,1,2
48,0,3,0,2,1,0,0,1,3
49,0,3,1,2,0,2,0,2,1
50,0,3,0,3,0,1,0,6,0
51,0,3,0,0,0,0,1,1,2
52,1,1,1,3,1,2,0,3,4
53,1,2,1,2,0,2,0,1,2
54,0,1,0,3,1,0,0,1,6
55,1,1,0,3,0,0,1,1,3
56,1,2,1,1,0,3,1,1,2
57,0,3,0,0,1,0,1,1,2
58,1,2,1,2,0,3,0,3,0
59,0,3,0,3,0,1,0,6,1
60,0,3,0,0,1,0,1,1,2
61,1,1,1,3,0,3,1,2,3
62,0,1,0,3,0,0,0,2,4
63,0,3,0,2,0,1,0,6,0
64,0,1,0,2,1,0,1,1,3
65,1,3,0,2,1,1,0,2,0
66,1,2,1,1,0,2,1,1,2
67,0,3,0,1,0,0,1,1,1
68,1,3,1,1,0,3,0,1,1
69,0,3,0,1,0,0,0,1,2
70,0,2,0,1,0,0,1,1,3
71,0,3,1,3,0,3,0,6,1
72,0,2,0,3,0,0,1,5,2
73,0,3,0,2,1,0,0,1,2
74,1,3,0,3,0,0,1,7,3
75,0,3,0,0,0,0,1,1,2
76,0,3,0,0,0,0,1,1,3
77,0,3,0,1,0,0,1,1,3
78,1,2,0,2,0,1,0,2,0
79,1,3,1,1,0,3,1,2,2
80,0,3,0,1,0,0,1,1,2
81,1,3,0,1,0,0,1,1,2
82,1,3,1,0,2,3,1,1,2
83,0,1,0,3,0,0,1,1,2
84,1,2,1,1,0,3,1,1,1
85,1,3,1,2,0,2,0,2,3
86,0,3,0,3,0,0,0,4,1
87,0,3,0,1,0,0,1,1,3
88,1,1,1,3,0,3,0,4,2
89,0,3,0,1,0,0,1,1,2
90,0,3,0,1,0,0,1,1,2
91,0,3,0,0,0,0,1,1,1
92,0,1,0,3,0,0,0,1,4
93,0,3,0,2,0,0,0,2,2
94,0,3,0,0,0,0,1,1,5
95,0,3,0,1,0,0,1,1,3
96,0,1,0,3,1,0,1,1,7
97,1,1,0,3,1,0,0,1,2
98,1,2,1,2,0,2,0,2,3
99,0,2,0,2,0,0,0,2,3
100,0,3,1,0,0,3,1,1,2
101,0,3,0,0,0,0,1,1,3
102,0,1,0,3,0,0,0,2,2
103,0,3,0,1,0,0,1,1,3
104,0,3,0,1,0,0,0,1,3
105,0,3,0,0,0,0,1,1,2
106,1,3,1,0,0,3,1,1,2
107,1,3,0,0,0,0,1,1,3
108,0,3,0,0,0,0,1,1,3
109,1,3,1,2,2,3,0,3,2
110,0,1,0,3,0,0,1,2,4
111,0,3,1,2,1,3,0,2,1
112,0,3,0,1,0,0,1,1,2
113,0,3,1,1,0,3,0,1,1
114,0,3,1,2,1,3,1,2,1
115,0,3,0,1,0,0,1,1,2
116,0,3,0,0,2,0,1,1,7
117,0,2,0,2,0,0,0,2,2
118,0,1,0,3,1,0,0,2,2
119,0,3,1,3,0,3,0,7,0
120,0,2,0,3,0,0,0,5,2
121,0,3,0,1,0,0,1,1,3
122,0,2,0,2,1,0,0,2,3
123,1,2,1,1,0,3,1,1,3
124,0,1,0,3,0,0,0,2,5
125,1,3,0,1,1,1,0,2,1
126,0,3,0,0,2,0,1,1,3
127,1,3,0,0,0,0,1,1,2
128,1,3,1,2,1,3,0,2,2
129,0,3,0,0,0,0,1,1,4
130,0,3,0,0,1,0,1,1,3
131,0,3,0,0,0,0,1,1,1
132,0,3,1,2,0,2,0,1,4
133,1,2,1,2,0,2,0,1,2
134,0,2,0,1,0,0,1,1,2
135,0,2,0,2,1,0,1,1,2
136,1,1,1,2,0,3,0,1,1
137,0,1,0,3,0,0,0,2,3
138,0,3,0,1,0,0,1,2,1
139,0,1,0,3,1,0,1,2,2
140,0,3,1,2,1,2,0,2,3
141,1,3,1,0,0,3,1,1,2
142,1,3,1,2,0,2,0,2,2
143,0,3,0,0,2,0,1,1,1
144,0,2,0,1,0,0,1,1,1
145,0,2,0,3,0,0,0,2,1
146,1,3,0,0,0,0,1,1,2
147,0,3,1,3,0,3,0,4,0
148,0,2,0,2,0,0,0,3,3
149,0,2,0,1,0,4,1,1,4
150,0,2,0,1,0,4,1,1,5
151,1,1,1,3,0,2,0,2,2
152,0,3,0,1,0,0,1,1,5
153,0,3,0,2,0,0,0,1,4
154,0,3,0,0,0,0,1,1,3
155,0,1,0,3,1,0,0,1,5
156,1,3,1,0,2,3,1,1,1
157,0,3,0,1,0,0,1,1,2
158,0,3,0,1,0,0,1,1,3
159,0,3,0,3,0,1,0,7,0
160,0,3,0,2,0,0,0,1,4
161,1,2,1,2,0,2,1,1,3
162,0,3,0,0,0,0,1,1,2
163,0,3,0,1,0,0,1,1,1
164,0,3,0,3,0,1,0,6,0
165,1,3,0,2,0,1,0,3,0
166,1,1,1,3,0,2,0,2,3
167,0,3,1,2,0,2,0,6,4
168,0,1,0,2,0,0,1,1,3
169,0,3,0,3,0,0,1,7,2
170,0,1,0,3,0,0,1,1,6
171,0,3,0,2,2,1,0,5,0
172,1,3,1,1,0,3,0,3,0
173,0,3,0,1,0,0,1,1,2
174,0,1,0,2,1,0,1,1,5
175,0,3,0,0,0,0,0,1,1
